"Año","Mes","Región","Inflación mensual general"
"2006","2006/07/01 00:00:00","CUENCA","-0,00062413"
"2006","2006/07/01 00:00:00","ESMERALDAS","-0,00392419"
"2006","2006/07/01 00:00:00","GUAYAQUIL ","0,00180933"
"2006","2006/07/01 00:00:00","LOJA","0,00525912"
"2006","2006/07/01 00:00:00","MACHALA ","-0,00467153"
"2006","2006/07/01 00:00:00","MANTA ","0,00192295"
"2006","2006/07/01 00:00:00","NACIONAL","0,00029739"
"2006","2006/07/01 00:00:00","QUITO ","-0,00131773"
"2006","2006/07/01 00:00:00","SIERRA","0,00025911"
"2006","2006/08/01 00:00:00","AMBATO","0,00506514"
"2006","2006/08/01 00:00:00","COSTA ","0,00196607"
"2006","2006/08/01 00:00:00","CUENCA","0,00235796"
"2006","2006/08/01 00:00:00","ESMERALDAS","0,00421817"
"2006","2006/08/01 00:00:00","GUAYAQUIL ","0,00017712"
"2006","2006/08/01 00:00:00","LOJA","0,0051767"
"2006","2006/08/01 00:00:00","MACHALA ","-0,00517882"
"2006","2006/08/01 00:00:00","MANTA ","0,006688"
"2006","2006/08/01 00:00:00","NACIONAL","0,00214635"
"2006","2006/08/01 00:00:00","QUITO ","0,00040618"
"2006","2006/08/01 00:00:00","SIERRA","0,00229996"
"2006","2006/09/01 00:00:00","AMBATO","0,01269722"
"2006","2006/09/01 00:00:00","COSTA ","-0,00040931"
"2006","2006/09/01 00:00:00","CUENCA","0,00114315"
"2006","2006/09/01 00:00:00","ESMERALDAS","-0,00204118"
"2006","2006/09/01 00:00:00","GUAYAQUIL ","-0,00212264"
"2006","2006/09/01 00:00:00","LOJA","0,02027736"
"2006","2006/09/01 00:00:00","MACHALA ","0,00325299"
"2006","2006/09/01 00:00:00","MANTA ","0,00491313"
"2006","2006/09/01 00:00:00","NACIONAL","0,00572899"
"2006","2006/09/01 00:00:00","QUITO ","0,00886649"
"2006","2006/09/01 00:00:00","SIERRA","0,01095771"
"2006","2006/10/01 00:00:00","AMBATO","0,00294345"
"2006","2006/10/01 00:00:00","COSTA ","0,00429531"
"2006","2006/10/01 00:00:00","CUENCA","0,00248758"
"2006","2006/10/01 00:00:00","ESMERALDAS","0,00477685"
"2006","2006/10/01 00:00:00","GUAYAQUIL ","0,00610087"
"2006","2006/10/01 00:00:00","LOJA","0,00180334"
"2006","2006/10/01 00:00:00","MACHALA ","0,00796096"
"2006","2006/10/01 00:00:00","MANTA ","-0,00212223"
"2006","2006/10/01 00:00:00","NACIONAL","0,0034877"
"2006","2006/10/01 00:00:00","QUITO ","0,00315784"
"2006","2006/10/01 00:00:00","SIERRA","0,00280749"
"2006","2006/11/01 00:00:00","AMBATO","-0,00062484"
"2006","2006/11/01 00:00:00","COSTA ","0,00264356"
"2006","2006/11/01 00:00:00","CUENCA","0,0018223"
"2006","2006/11/01 00:00:00","ESMERALDAS","0,00433374"
"2006","2006/11/01 00:00:00","GUAYAQUIL ","0,0035549"
"2006","2006/11/01 00:00:00","LOJA","0,0014225"
"2006","2006/11/01 00:00:00","MACHALA ","-0,00025708"
"2006","2006/11/01 00:00:00","MANTA ","-0,00073272"
"2006","2006/11/01 00:00:00","NACIONAL","0,00165484"
"2006","2006/11/01 00:00:00","QUITO ","0,00093371"
"2006","2006/11/01 00:00:00","SIERRA","0,00082087"
